Location,lyme,babesiosis,anaplasmosis,Population,COUNTY
New Canada,NA,0,0,1597,Aroostook
New Gloucester,167,0,40.9,29336,Cumberland
New Limerick,0,0,0,2362,Aroostook
New Portland,NA,0,0,3649,Somerset
New Sharon,99.2,0,NA,7059,Franklin
New Sweden,0,0,0,2857,Aroostook
New Vineyard,NA,0,NA,3823,Franklin
Newburgh,154,NA,NA,7793,Penobscot
Newcastle,331.4,NA,177.5,8450,Lincoln
Newfield,226.2,0,213.6,7957,York
Newport,80.9,0,6.2,16079,Penobscot
Newry,0,0,0,1696,Oxford
Nobleboro,274.1,NA,297.9,8392,Lincoln
Norridgewock,96.9,0,30.3,16511,Somerset
North Berwick,136.7,4.3,81.2,23410,York
North Franklin,0,0,0,309,NA
North Haven,1515.2,NA,NA,1848,Knox
North Oxford,NA,NA,NA,114,NA
North Penobscot,0,0,0,2299,NA
North Washington,0,0,0,2433,NA
North Yarmouth,301.8,5.3,84.7,18887,Cumberland
Northeast Piscataquis,0,0,0,1357,NA
Northeast Somerset,0,0,0,1861,NA
Northfield,0,0,0,730,Washington
Northport,320.7,0,141.1,7795,Waldo
Northwest Aroostook,NA,NA,NA,50,NA
Northwest Piscataquis,0,0,0,754,NA
Northwest Somerset,0,0,0,308,NA
Norway,175.9,4,36,25011,Oxford
Oakfield,0,0,0,3449,Aroostook
Oakland,91.7,3.2,12.7,31620,Kennebec
Ogunquit,NA,NA,163.2,4289,York
Old Orchard Beach,38.9,0,13.7,43657,York
Old Town,44.8,0,5.3,37955,Penobscot
Orient,0,0,0,694,Aroostook
Orland,270.8,0,54.2,11078,Hancock
Orneville Twp,NA,0,0,1237,Piscataquis
Orono,61.1,0,9.6,52332,Penobscot
Orrington,156.4,10.8,21.6,18545,Penobscot
Osborn,NA,0,0,317,Hancock
Otis,NA,0,0,3440,Hancock
Otisfield,189.4,NA,144.8,8978,Oxford
Owls Head,510.9,76.6,344.9,7829,Knox
Oxbow Plt,0,0,0,322,NA
Oxford,204.3,14.6,77.8,20557,Oxford
Palermo,268.1,NA,NA,7832,Waldo
Palmyra,113.6,0,0,9686,Somerset
Paris,134.2,0,39.5,25335,Oxford
Parkman,NA,0,0,4192,Piscataquis
Parsonsfield,305,NA,111.8,9837,York
Passadumkeag,0,0,0,1792,Penobscot
Patten,NA,0,0,4782,Penobscot
Pembroke,0,0,0,3948,Washington
Penobscot,554.5,NA,130.5,6132,Hancock
Penobscot Indian Island,NA,NA,NA,0,NA
Perham,0,0,0,1739,Aroostook
Perkins Twp Swan Island,NA,NA,NA,0,Sagadahoc
Perry,0,0,0,4425,Washington
Peru,NA,0,0,7708,Oxford
Phillips,NA,0,NA,5098,Franklin
Phippsburg,187.2,53.5,142.7,11215,Sagadahoc
Pittsfield,59,0,0,20325,Somerset
Pittston,285.2,15,75,13325,Kennebec
Pleasant Point,0,0,0,3742,Washington
Pleasant Ridge Plt,0,0,0,428,NA
Plymouth,114.3,0,0,6997,Penobscot
Poland,115.6,18.1,72.3,27677,Androscoggin
Portage Lake,0,0,0,1808,Aroostook
Porter,169.8,NA,91.4,7657,Oxford
Portland,45.9,2.1,10.9,337965,Cumberland
Pownal,413.2,NA,193.7,7744,Cumberland
Prentiss Twp T7 R3 NBPP,0,0,0,1038,Penobscot
Presque Isle,NA,0,0,45461,Aroostook
Princeton,NA,0,0,4045,Washington
Prospect,NA,0,NA,3678,Waldo
Pukakon Twp,NA,NA,NA,27,Penobscot
Randolph,82.1,0,NA,8528,Kennebec
Rangeley,NA,0,0,5632,Franklin
Rangeley Plt,0,0,0,939,NA
Raymond,151.6,0,73.7,23080,Cumberland
Readfield,405,15.3,84.1,13085,Kennebec
Reed Plt,0,0,0,736,NA
Richmond,162.2,23.2,98.5,17264,Sagadahoc
Ripley,NA,0,NA,2345,Somerset
Robbinston,NA,0,0,2673,Washington
Rockland,148,22.3,97.8,35805,Knox
Rockport,344.2,83.1,314.5,16852,Knox
Rome,175.7,0,0,5123,Kennebec
Roque Bluffs,0,0,0,1481,Washington
Roxbury,0,0,0,1781,Oxford
Rumford,14.2,0,0,28153,Oxford
Sabattus,92.8,0,32.3,24782,Androscoggin
Saco,52.1,3.1,9.4,96036,York
Saint Agatha,0,0,0,3511,NA
Saint Albans,120.5,0,NA,9960,NA
Saint Francis,NA,0,0,2338,NA
Saint George,582.7,53.7,375.7,13043,NA
Saint John Plt,0,0,0,1302,NA
Sandy River Plt,0,0,0,651,NA
Sanford,77.3,2.9,55.3,104789,York
Sangerville,NA,NA,0,6385,Piscataquis
Scarborough,60.3,2,14.1,99437,Cumberland
Searsmont,343.8,NA,NA,7271,Waldo
Searsport,267.6,7.6,114.7,13078,Waldo
Sebago,77,NA,NA,9089,Cumberland
Sebec,NA,0,0,3035,Piscataquis
Seboeis Plt,NA,NA,NA,188,NA
Seboomook Lake,NA,NA,NA,235,NA
Sedgwick,634.2,0,217,5992,Hancock
Shapleigh,152,21.7,115.8,13818,York
Sherman,NA,0,0,4124,Aroostook
Shirley,0,0,0,1131,Piscataquis
Sidney,232.3,0,72.9,21955,Kennebec
Skowhegan,97.6,4.9,22,40979,Somerset
Smithfield,156.4,0,NA,5115,Somerset
Smyrna,0,0,0,2228,Aroostook
Solon,NA,0,0,5208,Somerset
Somerville,NA,NA,NA,2851,Lincoln
Sorrento,NA,0,0,1349,Hancock
South Aroostook,0,0,0,1836,NA
South Berwick,92.3,10.5,50.1,37926,York
South Bristol,430.2,NA,407.5,4417,Lincoln
South Franklin,NA,0,0,270,NA
South Oxford,NA,0,0,2959,NA
South Portland,29.2,1.5,3.8,129923,Cumberland
South Thomaston,694.4,75.8,265.2,7920,Knox
Southport,NA,0,NA,2926,Lincoln
Southwest Harbor,364.6,0,NA,8776,Hancock
Springfield,0,0,0,1948,Penobscot
Square Lake,0,0,0,2914,NA
Stacyville,NA,0,NA,1948,Penobscot
Standish,86.2,19.1,38.3,52223,Cumberland
Starks,341.1,0,0,3225,Somerset
Stetson,132.4,0,0,6041,Penobscot
Steuben,159.6,0,0,5640,Washington
Stockholm,0,0,0,1148,Aroostook
Stockton Springs,197.3,0,184.9,8111,Waldo
Stoneham,0,0,NA,1184,Oxford
Stonington,438.2,0,0,5249,Hancock
Stow,NA,0,NA,1999,Oxford
Strong,NA,0,NA,5884,Franklin
Sullivan,142.9,0,0,6297,Hancock
Sumner,NA,0,NA,4724,Oxford
Surry,322.7,NA,NA,7438,Hancock
Swans Island,476.8,0,0,1678,Hancock
Swanville,185.2,NA,NA,7019,Waldo
Sweden,NA,0,NA,1956,Oxford
T3 R1 NBPP,NA,NA,NA,0,Penobscot
T32 MD BPP,NA,NA,NA,10,Hancock
Talmadge,0,0,0,306,Washington
Temple,NA,0,0,2614,Franklin
The Forks Plt,NA,NA,NA,171,NA
Thomaston,245.2,28.8,165.9,13865,Knox
Thorndike,276.9,0,NA,4695,Waldo
Topsfield,0,0,0,1133,Washington
Topsham,119.8,6.8,NA,44233,Sagadahoc
Tremont,276.8,0,NA,7948,Hancock
Trenton,350.2,NA,NA,7709,Hancock
Troy,172.1,0,NA,5229,Waldo
Turner,139.6,10.2,74.9,29380,Androscoggin
Union,535,70.2,403.5,11401,Knox
Unity,174.5,0,45.9,10887,Waldo
Unity Twp,NA,NA,NA,219,Kennebec
Upton,0,0,0,539,Oxford
Van Buren,0,0,0,9651,Aroostook
Vanceboro,0,0,0,664,Washington
Vassalboro,271.5,18.1,72.4,22103,Kennebec
Veazie,138.9,0,NA,9357,Penobscot
Verona Island,297.5,NA,0,2689,Hancock
Vienna,203.3,0,0,2952,Kennebec
Vinalhaven,810.2,0,NA,5801,Knox
Wade,0,0,0,1356,Aroostook
Waite,0,0,0,484,Washington
Waldo,223.7,0,174,4023,Waldo
Waldoboro,244,23.6,181.1,25406,Lincoln
Wales,83.2,NA,NA,8416,Androscoggin
Wallagrass,NA,0,0,2696,Aroostook
Waltham,0,0,NA,1801,Hancock
Warren,277.2,66.2,268.9,24172,Knox
Washburn,NA,0,0,8034,Aroostook
Washington,350.9,0,195,7694,Knox
Waterboro,122.4,4.9,58.8,40843,York
Waterford,NA,0,0,7814,Oxford
Waterville,69.6,3.8,12.6,79054,Kennebec
Wayne,240.5,NA,137.5,5820,Kennebec
Webster Plt,0,0,0,408,NA
Weld,NA,0,0,2014,Franklin
Wellington,0,0,0,1238,Piscataquis
Wells,91.4,25.8,81.5,50317,York
Wesley,0,0,0,448,Washington
West Bath,200.4,0,NA,9482,Sagadahoc
West Central Franklin,NA,NA,NA,0,NA
West Forks Plt,0,0,0,277,NA
West Gardiner,172.9,11.5,69.1,17356,Kennebec
West Paris,NA,NA,0,8769,Oxford
Westbrook,57.3,4.3,16.2,92484,Cumberland
Westfield,NA,0,0,2564,Aroostook
Westmanland,0,0,0,304,Aroostook
Weston,0,0,0,1039,Aroostook
Westport Island,276.8,0,NA,3613,Lincoln
Whitefield,317.8,0,231.9,11641,Lincoln
Whiting,NA,0,0,2355,Washington
Whitneyville,NA,0,0,1096,Washington
Willimantic,0,0,0,731,Piscataquis
Wilton,35.2,NA,5,19902,Franklin
Windham,146.6,9.8,37.2,91401,Cumberland
Windsor,197.6,15.2,53.2,13156,Kennebec
Winn,NA,0,0,1918,Penobscot
Winslow,125.3,10.4,41.8,38317,Kennebec
Winter Harbor,NA,0,0,2519,Hancock
Winterport,61.3,0,5.1,19589,Waldo
Winterville Plt,NA,0,0,1105,NA
Winthrop,228.1,13.4,36.9,29817,Kennebec
Wiscasset,121.5,21.1,89.8,18933,Lincoln
Woodland,0,0,0,5828,Aroostook
Woodstock,NA,0,NA,6438,Oxford
Woodville,0,0,0,1224,Penobscot
Woolwich,230.5,32,140.8,15620,Sagadahoc
Wyman Twp,0,0,0,443,Franklin
Yarmouth,168,7.1,18.9,42256,Cumberland
York,123.2,17.1,32.7,64141,York
